zona_leste,zona_norte,zona_oeste,zona_sul,quartos,area,preco
0,1,0,0,1.0,40.0,750.0
1,0,0,0,2.0,180.0,2000.0
0,0,0,1,3.0,500.0,6000.0
0,1,0,0,2.0,70.0,1200.0
1,0,0,0,2.0,65.0,1500.0
0,0,0,1,3.0,240.0,7000.0
0,0,1,0,4.0,380.0,14000.0
0,0,0,1,2.0,210.0,6000.0
1,0,0,0,3.0,120.0,3500.0
1,0,0,0,2.0,85.0,1400.0
1,0,0,0,2.0,60.0,1350.0
1,0,0,0,3.0,253.0,4300.0
0,0,0,1,1.0,60.0,1200.0
0,0,0,1,,750.0,28000.0
0,0,0,1,5.0,290.0,16000.0
1,0,0,0,3.0,210.0,2500.0
1,0,0,0,4.0,130.0,2000.0
1,0,0,0,4.0,200.0,2400.0
0,1,0,0,2.0,40.0,1000.0
0,0,1,0,3.0,70.0,8500.0
0,1,0,0,,120.0,3500.0
0,0,1,0,1.0,36.0,1200.0
1,0,0,0,4.0,120.0,2500.0
1,0,0,0,3.0,200.0,4000.0
0,0,1,0,4.0,580.0,15000.0
0,1,0,0,3.0,190.0,3800.0
0,1,0,0,1.0,40.0,500.0
0,1,0,0,2.0,75.0,1550.0
0,0,1,0,1.0,49.0,850.0
0,0,1,0,3.0,180.0,3500.0
0,0,1,0,,700.0,10000.0
0,0,1,0,3.0,60.0,900.0
0,0,0,1,,386.0,20000.0
0,0,0,1,5.0,500.0,7000.0
0,0,0,1,5.0,1000.0,47000.0
0,0,1,0,2.0,350.0,10000.0
1,0,0,0,2.0,80.0,1600.0
0,0,0,1,2.0,80.0,2000.0
1,0,0,0,3.0,295.0,3500.0
1,0,0,0,1.0,10.0,800.0
1,0,0,0,2.0,60.0,1300.0
0,0,1,0,1.0,45.0,1350.0
0,1,0,0,5.0,750.0,5800.0
1,0,0,0,,,900.0
0,1,0,0,2.0,48.0,920.0
0,0,0,1,5.0,750.0,28000.0
0,1,0,0,2.0,200.0,1600.0
0,0,0,1,4.0,296.0,12000.0
0,0,1,0,2.0,87.0,1200.0
0,0,1,0,,475.0,20000.0
0,0,1,0,2.0,190.0,2900.0
0,1,0,0,5.0,85.0,1900.0
1,0,0,0,2.0,120.0,1300.0
0,0,1,0,,186.0,12000.0
0,0,1,0,2.0,110.0,2000.0
0,0,1,0,1.0,16.0,450.0
1,0,0,0,,188.0,7000.0
1,0,0,0,1.0,50.0,480.0
0,0,1,0,,475.0,20000.0
1,0,0,0,1.0,40.0,690.0
0,1,0,0,2.0,50.0,990.0
0,0,1,0,2.0,71.0,1300.0
0,0,1,0,3.0,300.0,12000.0
0,0,1,0,1.0,30.0,900.0
1,0,0,0,1.0,45.0,1350.0
0,1,0,0,3.0,60.0,900.0
0,1,0,0,2.0,90.0,950.0
1,0,0,0,3.0,90.0,1800.0
1,0,0,0,1.0,70.0,800.0
1,0,0,0,,,1100.0
0,1,0,0,,60.0,2000.0
1,0,0,0,1.0,42.0,980.0
0,0,1,0,2.0,62.0,1300.0
0,0,1,0,2.0,157.0,4500.0
1,0,0,0,2.0,50.0,1200.0
1,0,0,0,2.0,60.0,750.0
0,0,0,1,2.0,69.0,2700.0
1,0,0,0,3.0,142.0,2300.0
0,0,1,0,4.0,750.0,14000.0
1,0,0,0,1.0,1.0,650.0
0,1,0,0,2.0,80.0,1800.0
0,1,0,0,2.0,80.0,1150.0
0,0,0,1,5.0,530.0,12000.0
1,0,0,0,2.0,150.0,850.0
0,1,0,0,1.0,35.0,700.0
0,0,0,1,2.0,60.0,1700.0
0,1,0,0,2.0,95.0,1900.0
1,0,0,0,1.0,40.0,650.0
1,0,0,0,,200.0,3200.0
0,0,1,0,1.0,174.0,5500.0
1,0,0,0,1.0,44.0,1100.0
1,0,0,0,3.0,73.0,1500.0
0,0,1,0,,360.0,13200.0
0,0,1,0,3.0,293.0,8500.0
0,0,1,0,4.0,610.0,25000.0
1,0,0,0,5.0,682.0,25000.0
0,0,0,1,4.0,240.0,2500.0
0,0,0,1,1.0,30.0,600.0
0,1,0,0,2.0,70.0,1800.0
1,0,0,0,3.0,600.0,7000.0
0,1,0,0,3.0,130.0,2500.0
0,0,1,0,1.0,42.0,1000.0
0,0,0,1,1.0,23.0,1250.0
0,0,0,1,3.0,45.0,1000.0
1,0,0,0,1.0,45.0,1200.0
0,0,0,1,3.0,160.0,2700.0
1,0,0,0,3.0,120.0,2000.0
